OrigOrder	Orthography	WorldBet	Frame1	Target1	Target2	Frame2	TP3_AudioFileAAE	TP3_AudioFileSAE	TargetStructure	Frequency	ComparisonPair	TP2_AudioFileAAE	TP2_AudioFileSAE	LexFreq
	ruhgloke	rVglok		r	V	glok	ruhgloke_A.wav	ruhgloke.wav	SKIP	SKIP	SKIP			
	rapoin	raepoIn		r	ae	poIn	rapoin_A.wav	rapoin.wav	SKIP	SKIP	SKIP			
	rahlide	ralaId		r	a	laId	rahlide_A.wav	rahlide.wav	SKIP	SKIP	SKIP			
	seeploke	sIplok		s	I	plok	sIplok_A.wav	seeploke.wav	SKIP	SKIP	SKIP			
	soudack	sodaek		s	o	daek	soudack_A.wav	soudack.wav	SKIP	SKIP	SKIP			
	chinut	tSInut		tS	I	nut		chinut_TP3.wav	SKIP	SKIP	SKIP			
	kreivas	krevas		k	r	evas		kreivas_TP3.wav	SKIP	SKIP	SKIP			
	kwigaek	kwigaek		k	w	igaek		kwigaek_TP3.wav	SKIP	SKIP	SKIP			
	traevait	traevaIt		t	r	aevaIt		traevait_TP3.wav	SKIP	SKIP	SKIP			
	traibith	traIbIT		t	r	aIbIT		traibith_TP3.wav	SKIP	SKIP	SKIP			
	treimut	tremut		t	r	mut		treimut_TP3.wav	SKIP	SKIP	SKIP			
